"","name","iso_a3","currency_code","local_price","dollar_ex","GDP_dollar","date"
"212","Egypt","EGY","EGP",9.25,5.74,NA,"2006-01-01"
"213","Euro area","EUZ","EUR",2.91,0.82815735,NA,"2006-01-01"
"214","Hong Kong","HKG","HKD",12,7.7512,NA,"2006-01-01"
"215","Hungary","HUN","HUF",560,206.956,NA,"2006-01-01"
"216","Indonesia","IDN","IDR",14600,9460,NA,"2006-01-01"
"217","Japan","JPN","JPY",250,114.305,NA,"2006-01-01"
"218","Malaysia","MYS","MYR",5.5,3.7488,NA,"2006-01-01"
"219","Mexico","MEX","MXN",28,10.5425,NA,"2006-01-01"
"220","New Zealand","NZL","NZD",4.45,1.4467,NA,"2006-01-01"
"221","Peru","PER","PEN",9.5,3.446,NA,"2006-01-01"
"222","Philippines","PHL","PHP",82,52.58,NA,"2006-01-01"
"223","Poland","POL","PLN",6.5,3.1151,NA,"2006-01-01"
"224","Russia","RUS","RUB",46,28.67,NA,"2006-01-01"
"225","Singapore","SGP","SGD",3.6,1.6353,NA,"2006-01-01"
"226","South Africa","ZAF","ZAR",13.95,6.0803,NA,"2006-01-01"
"227","South Korea","KOR","KRW",2500,977.45,NA,"2006-01-01"
"228","Sweden","SWE","SEK",33,7.7119,NA,"2006-01-01"
"229","Switzerland","CHE","CHF",6.3,1.2776,NA,"2006-01-01"
"230","Taiwan","TWN","TWD",75,31.9495,NA,"2006-01-01"
"231","Thailand","THA","THB",60,39.755,NA,"2006-01-01"
"232","Turkey","TUR","TRY",4.1,1.3365,NA,"2006-01-01"
"233","United States","USA","USD",3.15,1,NA,"2006-01-01"
"234","Venezuela","VEN","VEF",5900,2615.92,NA,"2006-01-01"
"235","Argentina","ARG","ARS",7,3.0565,NA,"2006-05-01"
"236","Australia","AUS","AUD",3.25,1.33253,NA,"2006-05-01"
"237","Brazil","BRA","BRL",6.4,2.3045,NA,"2006-05-01"
"238","Britain","GBR","GBP",1.94,0.531801744,NA,"2006-05-01"
"239","Canada","CAN","CAD",3.52,1.12045,NA,"2006-05-01"
"240","Chile","CHL","CLP",1560,529.95,NA,"2006-05-01"
"241","China","CHN","CNY",10.5,8.026,NA,"2006-05-01"
"242","Colombia","COL","COP",6500,2503.6,NA,"2006-05-01"
"243","Costa Rica","CRI","CRC",1130,509.535,NA,"2006-05-01"
"244","Czech Republic","CZE","CZK",59.05,22.1078,NA,"2006-05-01"
"245","Denmark","DNK","DKK",27.75,5.81825,NA,"2006-05-01"
"246","Egypt","EGY","EGP",9.5,5.77075,NA,"2006-05-01"
"247","Euro area","EUZ","EUR",2.939573529,0.780365992,NA,"2006-05-01"
"248","Hong Kong","HKG","HKD",12,7.7533,NA,"2006-05-01"
"249","Hungary","HUN","HUF",560,206.3444,NA,"2006-05-01"
"250","Indonesia","IDN","IDR",14600,9325,NA,"2006-05-01"
"251","Japan","JPN","JPY",250,112.105,NA,"2006-05-01"
"252","Malaysia","MYS","MYR",5.5,3.6295,NA,"2006-05-01"
"253","Mexico","MEX","MXN",29,11.3031,NA,"2006-05-01"
"254","New Zealand","NZL","NZD",4.45,1.62101,NA,"2006-05-01"
"255","Norway","NOR","NOK",43,6.1023,NA,"2006-05-01"
"256","Pakistan","PAK","PKR",130,60.055,NA,"2006-05-01"
"257","Peru","PER","PEN",9.5,3.261,NA,"2006-05-01"
"258","Philippines","PHL","PHP",85,52.625,NA,"2006-05-01"
"259","Poland","POL","PLN",6.5,3.09915,NA,"2006-05-01"
"260","Russia","RUS","RUB",48,27.06375,NA,"2006-05-01"
"261","Saudi Arabia","SAU","SAR",9,3.749,NA,"2006-05-01"
"262","Singapore","SGP","SGD",3.6,1.5873,NA,"2006-05-01"
"263","South Africa","ZAF","ZAR",13.95,6.597,NA,"2006-05-01"
"264","South Korea","KOR","KRW",2500,952.4,NA,"2006-05-01"
"265","Sri Lanka","LKA","LKR",190,102.955,NA,"2006-05-01"
"266","Sweden","SWE","SEK",33,7.28455,NA,"2006-05-01"
"267","Switzerland","CHE","CHF",6.3,1.20885,NA,"2006-05-01"
"268","Taiwan","TWN","TWD",75,32.141,NA,"2006-05-01"
"269","Thailand","THA","THB",60,38.445,NA,"2006-05-01"
"270","Turkey","TUR","TRY",4.2,1.5415,NA,"2006-05-01"
"271","UAE","ARE","AED",9,3.6726,NA,"2006-05-01"
"272","Ukraine","UKR","UAH",8.5,5.05,NA,"2006-05-01"
"273","United States","USA","USD",3.1,1,NA,"2006-05-01"
"274","Uruguay","URY","UYU",42.28,23.925,NA,"2006-05-01"
"275","Venezuela","VEN","VEF",5701.25,2519.58,NA,"2006-05-01"
"276","Argentina","ARG","ARS",8.25,3.08875,NA,"2007-01-01"
"277","Australia","AUS","AUD",3.45,1.266865,NA,"2007-01-01"
"278","Brazil","BRA","BRL",6.4,2.1335,NA,"2007-01-01"
"279","Britain","GBR","GBP",1.94,0.506034461,NA,"2007-01-01"
"280","Canada","CAN","CAD",3.63,1.17485,NA,"2007-01-01"
"281","Chile","CHL","CLP",1670,540.15,NA,"2007-01-01"
"282","China","CHN","CNY",11,7.7743,NA,"2007-01-01"
"283","Colombia","COL","COP",6900,2239.325,NA,"2007-01-01"
"284","Costa Rica","CRI","CRC",1130,509.535,NA,"2007-01-01"
"285","Czech Republic","CZE","CZK",52.1,21.50115,NA,"2007-01-01"
"286","Denmark","DNK","DKK",27.75,5.75305,NA,"2007-01-01"
"287","Egypt","EGY","EGP",9.09,5.7,NA,"2007-01-01"
"288","Euro area","EUZ","EUR",2.94,0.771813376,NA,"2007-01-01"
"289","Hong Kong","HKG","HKD",12,7.79845,NA,"2007-01-01"
"290","Hungary","HUN","HUF",590,194.4237,NA,"2007-01-01"
"291","Indonesia","IDN","IDR",15900,9090,NA,"2007-01-01"
"292","Japan","JPN","JPY",280,121.585,NA,"2007-01-01"
"293","Malaysia","MYS","MYR",5.5,3.502,NA,"2007-01-01"
"294","Mexico","MEX","MXN",29,10.8894,NA,"2007-01-01"
"295","New Zealand","NZL","NZD",4.6,1.42796,NA,"2007-01-01"
"296","Norway","NOR","NOK",41.5,6.1023,NA,"2007-01-01"
"297","Pakistan","PAK","PKR",140,60.055,NA,"2007-01-01"
"298","Peru","PER","PEN",9.5,3.1895,NA,"2007-01-01"
"299","Philippines","PHL","PHP",85,49.05,NA,"2007-01-01"
"300","Poland","POL","PLN",6.9,2.97175,NA,"2007-01-01"
"301","Russia","RUS","RUB",49,26.5335,NA,"2007-01-01"
"302","Saudi Arabia","SAU","SAR",9,3.749,NA,"2007-01-01"
"303","Singapore","SGP","SGD",3.6,1.53795,NA,"2007-01-01"
"304","South Africa","ZAF","ZAR",15.5,7.10975,NA,"2007-01-01"
"305","South Korea","KOR","KRW",2900,940.15,NA,"2007-01-01"
"306","Sri Lanka","LKA","LKR",190,102.955,NA,"2007-01-01"
"307","Sweden","SWE","SEK",32,7.04125,NA,"2007-01-01"
"308","Switzerland","CHE","CHF",6.3,1.2485,NA,"2007-01-01"
"309","Taiwan","TWN","TWD",75,32.9255,NA,"2007-01-01"
"310","Thailand","THA","THB",62,35.3,NA,"2007-01-01"
"311","Turkey","TUR","TRY",4.55,1.40975,NA,"2007-01-01"
"312","UAE","ARE","AED",10,3.6726,NA,"2007-01-01"
"313","Ukraine","UKR","UAH",9,5.05,NA,"2007-01-01"
"314","United States","USA","USD",3.22,1,NA,"2007-01-01"
"315","Uruguay","URY","UYU",55,23.925,NA,"2007-01-01"
"316","Venezuela","VEN","VEF",6800,4125.278,NA,"2007-01-01"
"317","Argentina","ARG","ARS",8.25,3.0915,NA,"2007-06-01"
"318","Australia","AUS","AUD",3.45,1.17,NA,"2007-06-01"
"319","Brazil","BRA","BRL",6.9,1.913,NA,"2007-06-01"
"320","Britain","GBR","GBP",1.99,0.496610632,NA,"2007-06-01"
"321","Canada","CAN","CAD",3.88,1.05345,NA,"2007-06-01"
"322","Chile","CHL","CLP",1565,526.75,NA,"2007-06-01"
"323","China","CHN","CNY",11,7.6047,NA,"2007-06-01"
"324","Colombia","COL","COP",6900,1956,NA,"2007-06-01"
"325","Costa Rica","CRI","CRC",1130,518.625,NA,"2007-06-01"
"326","Czech Republic","CZE","CZK",52.9,21.11675,NA,"2007-06-01"
"327","Denmark","DNK","DKK",27.75,5.4603,NA,"2007-06-01"
"328","Egypt","EGY","EGP",9.54,5.69025,NA,"2007-06-01"
"329","Euro area","EUZ","EUR",3.057482443,0.733756466,NA,"2007-06-01"
"330","Hong Kong","HKG","HKD",12,7.81555,NA,"2007-06-01"
"331","Hungary","HUN","HUF",600,180.2106,NA,"2007-06-01"
"332","Indonesia","IDN","IDR",15900,9015,NA,"2007-06-01"
"333","Japan","JPN","JPY",280,122.315,NA,"2007-06-01"
"334","Malaysia","MYS","MYR",5.5,3.4345,NA,"2007-06-01"
"335","Mexico","MEX","MXN",29,10.76755,NA,"2007-06-01"
"336","New Zealand","NZL","NZD",4.6,1.2797,NA,"2007-06-01"
"337","Norway","NOR","NOK",40,5.8139,NA,"2007-06-01"
"338","Pakistan","PAK","PKR",140,60.37,NA,"2007-06-01"
"339","Peru","PER","PEN",9.5,3.167,NA,"2007-06-01"
"340","Philippines","PHL","PHP",85,45.8975,NA,"2007-06-01"
"341","Poland","POL","PLN",6.9,2.75185,NA,"2007-06-01"
"342","Russia","RUS","RUB",52,25.64825,NA,"2007-06-01"
"343","Saudi Arabia","SAU","SAR",9,3.75045,NA,"2007-06-01"
"344","Singapore","SGP","SGD",3.95,1.52375,NA,"2007-06-01"
"345","South Africa","ZAF","ZAR",15.5,6.971,NA,"2007-06-01"
"346","South Korea","KOR","KRW",2900,922.5,NA,"2007-06-01"
"347","Sri Lanka","LKA","LKR",210,111.4,NA,"2007-06-01"
"348","Sweden","SWE","SEK",33,6.79165,NA,"2007-06-01"
"349","Switzerland","CHE","CHF",6.3,1.2112,NA,"2007-06-01"
"350","Taiwan","TWN","TWD",75,32.7705,NA,"2007-06-01"
"351","Thailand","THA","THB",62,34.455,NA,"2007-06-01"
"352","Turkey","TUR","TRY",4.75,1.2981,NA,"2007-06-01"
"353","UAE","ARE","AED",10,3.67285,NA,"2007-06-01"
"354","Ukraine","UKR","UAH",9.25,5.0275,NA,"2007-06-01"
"355","United States","USA","USD",3.41,1,NA,"2007-06-01"
"356","Uruguay","URY","UYU",62,23.945,NA,"2007-06-01"
"357","Venezuela","VEN","VEF",7400,2147.3,NA,"2007-06-01"
"358","Argentina","ARG","ARS",11,3.0195,NA,"2008-06-01"
"359","Australia","AUS","AUD",3.45,1.026,NA,"2008-06-01"
"360","Brazil","BRA","BRL",7.5,1.5846,NA,"2008-06-01"
"361","Britain","GBR","GBP",2.29,0.501039657,NA,"2008-06-01"
"362","Canada","CAN","CAD",4.09,1.00355,NA,"2008-06-01"
"363","Chile","CHL","CLP",1550,494.65,NA,"2008-06-01"
"364","China","CHN","CNY",12.5,6.834,NA,"2008-06-01"
"365","Colombia","COL","COP",7000,1798.65,NA,"2008-06-01"
"366","Costa Rica","CRI","CRC",1800,551.02,NA,"2008-06-01"
"367","Czech Republic","CZE","CZK",66.08,14.49795,NA,"2008-06-01"
"368","Denmark","DNK","DKK",28,4.7044,NA,"2008-06-01"
"369","Egypt","EGY","EGP",13,5.3125,NA,"2008-06-01"
"370","Euro area","EUZ","EUR",3.36856,0.630497147,NA,"2008-06-01"
"371","Hong Kong","HKG","HKD",13.3,7.7974,NA,"2008-06-01"
"372","Hungary","HUN","HUF",670,144.2578,NA,"2008-06-01"
"373","Indonesia","IDN","IDR",18700,9152,NA,"2008-06-01"
"374","Japan","JPN","JPY",280,106.855,NA,"2008-06-01"
"375","Malaysia","MYS","MYR",5.5,3.238,NA,"2008-06-01"
"376","Mexico","MEX","MXN",32,10.1685,NA,"2008-06-01"
"377","New Zealand","NZL","NZD",4.9,1.3177,NA,"2008-06-01"
"378","Norway","NOR","NOK",40,5.07915,NA,"2008-06-01"
